type	authors	year	title	journal	volume	issue	pages	doi	booktitle	editors	publisher	pubplace	url	notyetpub	note	reprint
journal	Heim, N.A. , S.H. Bakshi†, L. Buu†, S. Chen†, S. Heh†, A. Jain†, C. Noll†, A. Patkar†, N. Rizk†, S. Sundararajan†, I. Villante†, M.L. Knope, and J.L. Payne	2020	Respiratory and circulatory anatomy constrains size evolution in marine macrofauna	Paleobiology				10.1017/pab.2020.16						Early online	† = high school student advisee.	
journal	Payne, J.L., A. Bachan, N.A. Heim, P. Hull, M.L. Knope	2020	The evolution of complex life and the stabilization of the Earth system	Interface Focus	10	4	1020190106	10.1098/rsfs.2019.0106								
journal	Saulsbury J., D.K. Moss, L.C. Ivany, M. Kowałewski, D. Lindberg, J.F. Gillooly, N.A. Heim, McClain CR, J.L. Payne, P.D. Roopnarine, B.R. Schöne, D. Goodwin, S. Finnegan	2020	Idiographic and nomothetic approaches to heterogeneity are complementary: Response to comments on “Evaluating the influences of temperature, primary production, and evolutionary history on bivalve growth rates”	Paleobiology	46	2	275-277	10.1017/pab.2020.20								
journal	Knope, M.L., A. M. Bush, L.O. Frishkoff, N.A. Heim, and J. L. Payne	2020	Ecologically diverse clades dominate the oceans via extinction resistance	Science	367	6481	1035-1038	10.1126/science.aax6398								
journal	Payne, J.L. and N.A. Heim	2020	Body size, sampling completeness, and extinction risk in the marine fossil record	Paleobiology	46	1	23-40	10.1017/pab.2019.43								
journal	Bush, A.M., S. C. Wang, J.L. Payne, and N.A. Heim	2020	A framework for the integrated analysis of the magnitude, selectivity, and biotic effects of extinction and origination	Paleobiology	46	1	1-22	10.1017/pab.2019.35								
journal	Saulsbury J., D.K. Moss, L.C. Ivany, M. Kowałewski, D. Lindberg, J.F. Gillooly, N.A. Heim, McClain CR, J.L. Payne, P.D. Roopnarine, B.R. Schöne, D. Goodwin, S. Finnegan	2019	Evaluating the influences of temperature, primary production, and evolutionary history on bivalve growth rates	Paleobiology	45	3	405-420	10.1017/pab.2019.20								
journal	McClain CR, N.A. Heim, M.L. Knope, and J.L. Payne	2018	Is biodiversity energy-limited or unbounded? A test in fossil and modern bivalves	Paleobiology	44	3	385-401	10.1017/pab.2018.4								McClain2018.pdf
journal	Heim, N.A., J.L. Payne, S. Finnegan, M.L. Knope, M. Kowałewski, S.K. Lyons, D.W. McShea, P.M. Novack-Gottshall, F.A. Smith, and S.C. Wang	2017	Hierarchical complexity and the size limits of life	Proceedings of Royal Society of London B	284		20171039	10.1098/rspb.2017.1039								
journal	Payne, J.L., A.M. Bush, N.A. Heim, M.L. Knope, and D.J. McCauley	2016	Ecological selectivity of the emerging mass extinction in the oceans	Science	353	6305	1284-1286	10.1126/science.aaf2416					http://science.sciencemag.org/content/early/2016/09/13/science.aaf2416.			
journal	Payne, J.L., A.M. Bush, E.T. Chang, N.A. Heim, M.L. Knope, and S.B. Pruss	2016	Extinction intensity, selectivity, and their combined macroevolutionary influence in the fossil record	Biology Letters	12	10	20160202	10.1098/rsbl.2016.0202								
journal	Smith, F.A., J.L. Payne, N.A. Heim, M. Balk, S. Finnegan, M. Kowałewski, S.K. Lyons, C.R. McClain, D.W. McShea, P.M. Novack-Gottshall, P.S. Anich, and S.C. Wang	2016	Body size evolution across the Geozoic	Annual Review of Earth and Planetary Sciences	44		523-553	10.1146/annurev-earth-060115-012147					http://www.annualreviews.org/doi/abs/10.1146/annurev-earth-060115-012147.			
journal	Heim, N.A., M.L. Knope, E.K. Schaal, S.C. Wang, and J.L. Payne	2015	Cope’s Rule in the Evolution of Marine Animals	Science	347	6224	867-870	10.1126/science.1260065								Heim2015.pdf
journal	Knope, M.L., N.A. Heim, L.O. Frishkoff, and J.L. Payne	2015	Limited role of functional differentiation in early diversification of animals	Nature Communications	6		6455	10.1038/ncomms7455								
journal	Payne, J.L., N.A. Heim, M.L. Knope, and C.R. McClain	2014	Metabolic dominance of bivalves predates brachiopod diversity decline by more than 150 million years	Proceedings of the Royal Society B	281	1783	20133122	10.1098/rspb.2013.3122								Payne2014.pdf
journal	Rook, D.L., N.A. Heim, and J. Marcot	2013	Contrasting patterns and connections of rock and biotic diversity in the marine and terrestrial fossil records of North America	Palaeogeography, Palaeoclimatology, Palaeoecology	372		123-129	10.1016/j.palaeo.2012.10.006								Rook2013.pdf
journal	Finnegan, S., N.A. Heim, S.E. Peters, and W.W. Fischer	2012	Climate Change and the Selective Signature of the Late Ordovician Mass Extinction	Proceedings of the National Academy of Sciences of the USA	109	18	6829-6834	10.1073/pnas.1117039109								
chapter	Railsback, L.B., K.M. Layou, N.A. Heim, S.M. Holland, M.L. Trogdon, M.B. Jarrett, G.M. Izsak, D.E. Bulger, E.J. Wysong, K.J. Trubee, J.M. Fiser, J.E. Cox, and D.E. Crowe	2012	Geochemical evidence for meteoric diagenesis and cryptic surfaces of subaerial exposure in peritidal carbonates of Late Ordovician age from the Nashville Dome, central Tennessee, USA				257-270	10.1002/9781118485347.ch11	Linking Diagenesis to Sequence Stratigraphy, IAS Special Publication no. 45	Morad, S., M. Ketzer, and L.F. de Ros (eds)	International Association of Sedimentologists	Gent				Railsback2012.pdf
journal	Heim, N.A. and S.E. Peters	2011	Local Environmental Breadth Determines Geographic Range and Longevity in Fossil Marine Genera	PLoS One	5	6	e18946	10.1371/journal.pone.0018946								
journal	Heim, N.A. and S.E. Peters	2011	Covariation in macrostratigraphic and macroevolutionary patterns in the marine record of North America	The Geological Society of America Bulletin	123		620-630	10.1130/B30215.1								Heim2001.pdf
chapter	Peters, S.E. and N.A. Heim	2011	Macrostratigraphy and macroevolution in marine environments: testing the common-cause hypothesis				95-104	10.1144/SP358.7	Comparing the Geological and Fossil Records: Implications for Biodiversity Studies, Geological Society Special Publication 358	McGowan, A. and A.B. Smith (eds.)	Geological Society of London	London				Peters2011-1.pdf
journal	Peters, S.E. and N.A. Heim	2011	Stratigraphic distribution of marine fossils in North America	Geology	39		259-262	10.1130/G31442.1								Peters2011.pdf
journal	Peters, S.E. and N.A. Heim	2010	The geological completeness of paleontological sampling in North America	Paleobiology	36		61-79	10.1666/0094-8373-36.1.61								Peters2010.pdf
journal	Peng, S., N.C. Hughes, N.A. Heim, B.K. Sell, X. Zhu, P.M. Myrow, and S.K. Parcha	2009	Cambrian trilobites from the Parahio and Zanskar Valleys, Indian Himalaya	Journal of Paleontology	83	sp. 71	1-95	10.1666/08-129.1								Peng2009.pdf
journal	Heim, N.A.	2009	Stability of regional brachiopod diversity structure across the Mississippian/Pennsylvanian boundary	Paleobiology	35		393-412	10.1666/0094-8373-35.3.393								Heim2009.pdf
journal	Heim, N.A.	2008	A null biogeographic model for quantifying the role of migration in shaping patterns of global taxonomic richness and differentiation diversity, with implications for Ordovician biogeography	Paleobiology	34		195-209	10.1666/0094-8373(2008)034[0195:ANBMFQ]2.0.CO;2								Heim2008.pdf
journal	Myrow, P.M., K.E. Snell, N.C. Hughes, T.S. Paulsen, N.A. Heim, and S.K. Parcha	2006	Cambrian depositional history of the Zanskar Valley region of the Indian Himalaya: tectonic implications	Journal of Sedimentary Research	76		364-381	10.2110/jsr.2006.020								Myrow2006.pdf
